courseType,courseName,subject,academyName,city,startDate,endDate,eduCost,regDeadline,courseLanguages,levelGerman,levelEnglish,courseBeginning,typeCourseDate,costPosition,tuitionFees,isElearning,preparationForDegree,prepForSubjectGroups,applicationDeadline,onlinePossible,badgeLabel,financialSupport,structuredResearch,supportInternationalStudents,typeOfElearning,courseLink
56,13th Current Literature – Here's What Germany Reads,"German Language and Literature (German, Germanic Languages except English)",Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,"['2024-06-02', '2024-06-30', '2024-08-04']","['2024-06-27', '2024-07-25', '2024-08-29']","[720, 720, 720]","['2024-04-19', '2024-05-17', '2024-06-21']",['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/5402/
56,26th International Summer Academy Sans Souci 2024 | ISAS,"German Language and Literature (German, Germanic Languages except English)",University of Potsdam,Potsdam,['2024-08-07'],['2024-08-30'],[750],['2024-06-14'],['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4993/
5,28th International Summer Academy,German Language Course (including Literature and Culture Studies),Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,"['2024-06-02', '2024-06-30', '2024-08-04', '2024-09-01']","['2024-06-27', '2024-07-25', '2024-08-29', '2024-09-26']","[720, 720, 720, 720]","['2024-04-19', '2024-05-17', '2024-06-21', '2024-07-26']",['German'],"['A2', 'B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4920/
5,32nd International Summer Language School,German Language Course (including Literature and Culture Studies),Osnabrück University of Applied Sciences,Osnabrück,['2024-08-19'],['2024-09-16'],[890],['Not Available'],['German'],"['A1', 'A2', 'B1', 'B2']",,,The date of the course has been set,,none,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/9019/
56,51st Trier International Summer School: Germany and its Neighbouring Countries 2024,German Language Course (including Literature and Culture Studies),Trier University,Trier,['2024-08-05'],['2024-08-30'],[770],['2024-07-15'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8289/
5,6th International Winter Academy,German Language Course (including Literature and Culture Studies),Martin Luther University Halle-Wittenberg,Lutherstadt Wittenberg,['2024-02-04'],['2024-02-29'],[720],['2024-01-05'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/6324/
5,75th International Summer Course: Germany Today,German Language Course (including Literature and Culture Studies),Kiel University,Kiel,['2024-07-15'],['2024-08-09'],[1350],['2024-05-15'],['German'],"['B1', 'B2', 'C1', 'C2']",,,The date of the course has been set,,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/4889/
6,7th Solar Winter School,Engineering in general,SRH Berlin University of Applied Sciences,Berlin,['2024-02-26'],['2024-03-10'],[950],['Not Available'],['English'],,"['B2', 'C1']",,The date of the course has been set,,,False,,,,True,Partly online,,,,"['1', '3', '9', '10']",/deutschland/studienangebote/international-programmes/en/detail/5573/
3,a.r.t.e.s. Graduate School for the Humanities Cologne,Languages and Cultural Studies in general,University of Cologne,Köln,[],[],[],[],"['German', 'English']",,,Summer semester,,,none,False,,,"<p>All applicants for the structured doctoral programme must apply by the end of October for the following summer semester. The exact date is announced on our website.</p>

<p>For further information on our application procedure, please see <a href=""http://www.artes.uni-koeln.de"" target=""_blank"">http://www.artes.uni-koeln.de</a>.</p>",False,,,True,['Buddy programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/4100/
3,Abbe School of Photonics – PhD/Doctoral Programme,"Physics, Astronomy",Friedrich Schiller University Jena,Jena,[],[],[],[],"['English', 'German']",,,Any time,,,none,False,,,"<p>Check for current openings on our website <a href=""https://www.asp.uni-jena.de/open_positions"">www.asp.uni-jena.de/open_positions</a>&nbsp;and apply within the stated deadlines. We also accept unsolicited applications at any time.&nbsp;</p>",False,,,True,['Tutors | Visa matters | Specialist counselling | Cultural and linguistic preparation | Buddy programme | Accompanying programme'],[],/deutschland/studienangebote/international-programmes/en/detail/4341/
7,Academic German Preparation Course Munich: Intensive Courses at the International University Munich,,Internationale Hochschule SDI München/International University SDI München,München,[],[],[],[],['German'],,,,The date of the course has not yet been set,,,False,"['Bachelor', 'Master', 'State examination']",['Languages and Cultural Studies'],,True,Partly online,,,,['1'],/deutschland/studienangebote/international-programmes/en/detail/5160/
5,Academic German Year 2024/2025,German as an Academic Language,University of Passau,Passau,['2024-10'],['2025-09'],[3990],['Not Available'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set approximately (month),,none,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8962/
5,"Academic Life in Leipzig – Autumn Language Course for International Researchers, Doctoral Candidates, and Students",German Language Course (including Literature and Culture Studies),Leipzig University,Leipzig,['2024-09-02'],['2024-09-27'],[1025],['2024-08-02'],['German'],"['A1', 'A2', 'B1', 'B2', 'C1']",,,The date of the course has been set,,,False,,,,False,,,,,"['1', '3', '5', '6', '10']",/deutschland/studienangebote/international-programmes/en/detail/4960/
56,Academic Writing in German,German as an Academic Language,Freie Universität Berlin,Berlin,['2023-10-12'],['2023-12-07'],[725],['2023-09-14'],['German'],"['B2', 'C1', 'C2']",,,The date of the course has been set,,none,False,,,,True,Fully online,,,,"['4', '9', '10']",/deutschland/studienangebote/international-programmes/en/detail/8921/
7,ACCESS² Preparation Year,,Heilbronn University of Applied Sciences,Heilbronn,['2024-09'],['2025-08'],['Not Available'],['2024-06-01'],"['German', 'English']",,,,The date of the course has been set approximately (month),,,False,['Bachelor'],"['Engineering', 'Law, Economics and Social Sciences']",,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/6214/
2,Actuarial and Financial Mathematics,Mathematics,RPTU University of Kaiserslautern-Landau,Kaiserslautern,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>Winter semester: 30 April<br />
(Early bird admission: 15 November)<br />
Summer semester: 31 October</p>",False,,,,['Welcome event | Buddy programme | Tutors | Accompanying programme | Specialist counselling | Cultural and linguistic preparation | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/4722/
56,"Adentrándose a Alemania: Idioma, Cultura y Derechos Humanos",Regional Studies,Catholic University of Eichstätt-Ingolstadt,Ingolstadt,['2024-06-03'],['2024-06-28'],['Not Available'],['2024-03-15'],"['Spanish', 'German']",['A1'],,,The date of the course has been set,Price only on request,,False,,,,False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8567/
2,Advanced and Computational Mathematics – International Master's Programme,Mathematics,Chemnitz University of Technology,Chemnitz,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>The application deadlines are as follows:<br />
15 July for the following winter semester<br />
15 January for the following summer semester</p>

<p>All documents (see course website) have to be submitted by the deadline via <a href=""https://www.uni-assist.de/en/"">uni-assist</a>. Please start your application as early as possible.</p>

<p>International applicants are very welcome!</p>",False,,,,['Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/4770/
2,Advanced Architecture — From Urban Design to Building Construction,Architecture,Frankfurt University of Applied Sciences,Frankfurt am Main,[],[],[],[],['English'],,,Summer semester,,,none,False,,,<p>The application deadline for the next summer semester is 1 March of the same year for applicants holding German Bachelor&#39;s degrees. Applicants with Bachelor&#39;s degrees from foreign countries must submit their applications by 15 October of the previous year.</p>,False,,,,['Welcome event | Buddy programme | Tutors | Accompanying programme | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/7065/
2,Advanced Computational Methods in Civil Engineering,Civil Engineering,RWTH Aachen University,Aachen,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>EU/EEA applicants: 15 July for the following winter semester and 15 January for the following summer semester<br />
Non-EU / non-EEA applicants: 1 March for the following winter semester and 1 September for the following summer semester</p>",False,,,,['Welcome event | Buddy programme | Cultural and linguistic preparation | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/6318/
2,Advanced Functional Materials,Chemistry,Chemnitz University of Technology,Chemnitz,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 July for the following winter semester</p>,False,,,,['Tutors | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/4695/
2,Advanced Green Engineering and Sustainable Management,Engineering in general,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>30 June for the following winter semester</p>

<p>31 January for the following summer semester</p>",False,,,,['Welcome event | Tutors | Cultural and linguistic preparation | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/8903/
2,Advanced Industrial Engineering,Industrial Engineering,Rosenheim Technical University of Applied Sciences,Traunstein,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 June</p>,False,,,,['Welcome event | Tutors | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/8579/
2,Advanced Manufacturing,Engineering in general,Chemnitz University of Technology,Chemnitz,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 July for the following winter semester</p>,True,Partly online,,,['Buddy programme | Welcome event'],"['1', '6', '9', '10', '11', '13', '14']",/deutschland/studienangebote/international-programmes/en/detail/7612/
2,Advanced Materials Analysis,"Mining, Metallurgy",TU Bergakademie Freiberg,Freiberg,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p>15 April</p>

<p>Applicants from India can submit the APS (Academic Evaluation Centre) later and do not have to submit it at the time of application. The proof must be submitted with the enrolment at the latest.</p>",False,,,,['Welcome event'],[],/deutschland/studienangebote/international-programmes/en/detail/5403/
2,Advanced Quantum Physics (MSc),"Physics, Astronomy",University of Tübingen,Tübingen,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,<p>15 July (for non-EU students)</p>,False,,,,['Welcome event | Tutors'],[],/deutschland/studienangebote/international-programmes/en/detail/7211/
2,Advanced Signal Processing and Communications Engineering MSc,Electrical Engineering,FAU Erlangen-Nürnberg,Erlangen,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 March for the following winter semester</p>,False,,,,['Buddy programme | Cultural and linguistic preparation | Pick-up service | Welcome event | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/4661/
2,Advanced Spectroscopy in Chemistry (ASC),Chemistry,Leipzig University,Leipzig,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,"<p>1) FIRST APPLICATION SESSION (for admission and scholarships):<br />
Open to all students, European and non-European, seeking a scholarship<br />
Deadline for electronic submission: 15 February</p>

<p>2) SECOND APPLICATION SESSION (for admission and scholarships): Open to EU students (ERASMUS+ programme countries) only, seeking a scholarship</p>

<p>Deadline for electronic submission: 24 March</p>

<p>3) THIRD APPLICATION SESSION (for admission &ndash; NO scholarship available):<br />
This is open to self-funded applicants. The admission decision is probably made too late to provide non-EU students with enough time to apply for a visa.</p>

<p>Deadline for electronic submission: 5 May</p>

<p>Independent of your status you may apply as early as possible (opening 31 October).</p>

<p>For details and specific deadlines, please see website: <a href=""https://master-asc.eu/"">https://master-asc.eu/</a></p>",False,,,,['Buddy programme | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/7056/
1,Advertising & Brand Design (BA),Design,SRH Berlin University of Applied Sciences,Berlin,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"4,725",False,,,"<p>Non-EU/EEA applicants: Please <a href=""https://apply.srh.de/en_GB/courses/course/58-ba-advertising--brand-design"">apply</a> by 1 February (April intake) or 15 August (October intake). We also recommend<strong> </strong>that you apply early (at least four months before the start of your programme).</p>

<p>EU/EEA applicants: Please <a href=""https://apply.srh.de/en_GB/courses/course/58-ba-advertising--brand-design"">apply</a> by 1 April (April intake) or 1 October (October intake).</p>",False,,,,['Welcome event | Buddy programme | Specialist counselling | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/6217/
2,Advisory and Innovation Services in Agri-Food Systems (AdvisoryServices),"Agriculture, Forestry and Nutritional Sciences in general",University of Hohenheim,Stuttgart,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,"<p>15 March for non-EU citizens<br />
15 July for EU citizens</p>",False,,,,['Welcome event | Buddy programme | Specialist counselling | Cultural and linguistic preparation | Visa matters'],"['1', '4', '5', '8', '9', '10', '11', '14']",/deutschland/studienangebote/international-programmes/en/detail/8972/
2,Aerospace (MSc),Engineering in general,Technical University Munich,Garching b. München,[],[],[],[],"['German', 'English']",,,"Winter semester, Summer semester",,,none,False,,,"<p>1 April to 31 May (applications for the winter semester)</p>

<p>1 September to 30 November (applications for the summer semester)</p>

<p>Please refer to the step-by-step instructions for the application: <a href=""https://www.tum.de/en/studies/application/master/application-master"">https://www.tum.de/en/studies/application/master/application-master</a>.</p>",False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/6141/
2,African Languages and Cultures,Other / Non-European Languages and Cultural Studies,Universität Hamburg,Hamburg,[],[],[],[],"['English', 'Other teaching language']",,,"Winter semester, Summer semester",,,none,False,,,"<ul>
	<li>15 February to&nbsp;31 March (winter semester)</li>
	<li>1 December to 15 January (summer semester)</li>
</ul>",False,,,,,[],/deutschland/studienangebote/international-programmes/en/detail/8933/
2,"African Verbal and Visual Arts: Languages, Literatures, Media and Art",Other / Non-European Languages and Cultural Studies,University of Bayreuth,Bayreuth,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p><strong>Application for EU citizens</strong><br />
15 April to 15 July (for the following winter semester)</p>

<p><strong>Application for non-EU citizens</strong><br />
15 April to 15 July (for the following winter semester)</p>

<p>&nbsp;</p>",False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/4044/
1,"African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA)",Languages and Cultural Studies in general,University of Bayreuth,Bayreuth,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p><strong>Application for EU citizens</strong><br />
15 April to mid-October (winter semester)</p>

<p><strong>Application for non-EU citizens</strong><br />
15 April to 15 July (winter semester)</p>",False,,,,['Welcome event'],[],/deutschland/studienangebote/international-programmes/en/detail/5443/
1,Agribusiness BA,"Agriculture, Forestry and Nutritional Sciences in general",Rhine-Waal University of Applied Sciences,Kleve,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>All applicants: 15 July for the following winter semester</p>,False,,,,['Welcome event | Tutors | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/4229/
2,Agricultural and Food Economics (AFECO),"Agriculture, Forestry and Nutritional Sciences in general",University of Bonn,Bonn,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>We strongly recommend starting the AFECO programme in the winter semester (i.e. October), due to our programme structure. The opening of the application period is 1 December of the previous year and&nbsp;the deadline/closing of the application period is 30 April for the following winter semester.</p>

<p>For a start in the summer semester (i.e. April), the opening of the application period is 1 June of the previous year, the deadline/closing of the application period is 31 October for the following summer semester.</p>",False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/7602/
2,Agricultural Biosciences,"Agriculture, Forestry and Nutritional Sciences in general",Technical University Munich,Freising,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>Application period:&nbsp;From 1 January to 31 May (for the following winter semester)</p>,False,,,,['Welcome event | Buddy programme'],"['9', '15']",/deutschland/studienangebote/international-programmes/en/detail/6527/
2,Agricultural Economics (AgEcon),"Agriculture, Forestry and Nutritional Sciences in general",University of Hohenheim,Stuttgart,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,"<p><strong>For admission to the AgEcon programme:</strong><br />
15 March for non-EU citizens<br />
15 July for EU citizens<br />
<br />
<strong>For DAAD scholarships:</strong><br />
15 December for programme commencing in October of the following year</p>

<p>More information on the scholarship application procedure: <a href=""https://www.uni-hohenheim.de/en/agecon-scholarships"">www.uni-hohenheim.de/en/agecon-scholarships</a></p>",False,,,,['Welcome event | Buddy programme | Specialist counselling | Cultural and linguistic preparation | Visa matters'],"['1', '4', '5', '8', '9', '10', '11', '14']",/deutschland/studienangebote/international-programmes/en/detail/3723/
2,Agricultural Sciences and Resource Management in the Tropics and Subtropics (ARTS),"Agriculture, Forestry and Nutritional Sciences in general",University of Bonn,Bonn,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<ul>
	<li>15 March in the year intending to begin study for non-EU and non-EEA citizens</li>
	<li>30 June in the year intending to begin study for EU or EEA citizens or visa free citizens</li>
</ul>",False,,,,['Welcome event | Buddy programme | Tutors | Visa matters | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/7600/
2,"Agricultural, Food and Environmental Policy Analysis (AFEPA)","Agriculture, Forestry and Nutritional Sciences in general",University of Bonn,Bonn,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,<p>31 January for the following winter semester</p>,False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/8310/
2,"Agriculture, Ecology & Societies (AGES)","Agriculture, Forestry and Nutritional Sciences in general",University of Kassel,Witzenhausen,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<ul>
	<li>
	<p>Applicants with a first academic degree acquired outside of Germany: 1 May<br />
	Applications are screened beginning in December &ndash; please apply as early as possible&nbsp;in order to allow time for registration, financing, and visa formalities.</p>
	</li>
	<li>
	<p>Applicants with degrees acquired in Germany: 1 September</p>
	</li>
</ul>",False,,,,['Welcome event | Tutors | Specialist counselling | Cultural and linguistic preparation | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/8543/
2,Agrobiotechnology,"Agriculture, Forestry and Nutritional Sciences in general",Justus Liebig University Giessen,Gießen,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p>All applicants: 15 June</p>

<p>Please note that the revision period by uni-assist lasts two to four weeks. Documents have to be at our university by 15 June. Application at <a href=""http://www.uni-assist.de"">www.uni-assist.de</a> starts 1 May. The JLU online portal for applicants with a German Bachelor&#39;s degree opens 1 June.</p>",False,,,,['Tutors'],[],/deutschland/studienangebote/international-programmes/en/detail/7709/
2,AI Engineering of Autonomous Systems,Electrical Engineering,Technische Hochschule Ingolstadt,Ingolstadt,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<ul>
	<li>2 May to 15 July for the following winter semester (start early&nbsp;October)</li>
	<li>15 November to 15 January for the following summer semester (start mid-March)</li>
</ul>

<p>If you have a Bachelor&#39;s degree from a country other than Germany, uni-assist must check your eligibility for study in Germany and convert your grades to the German grading system. You will need to submit all the necessary documents to uni-assist online. The process will take between four and six weeks to complete.</p>",False,,,,['Specialist counselling | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/8922/
2,"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",Mechanical Engineering / Process Engineering,University of Stuttgart,Stuttgart,[],[],[],[],['English'],,,Winter semester,,,varied,False,,,"<p>The MSc WASTE programme has two application periods, the first one for EPOS-DAAD scholars and the second one for regular applicants.</p>

<ul>
	<li>Application period for EPOS-DAAD scholars*:<br />
	1 August to 30 September each year</li>
	<li>Application period for self-financed studies:<br />
	15 November to 15 February each year</li>
</ul>

<p>Further information concerning application procedures and deadlines can be found on our website<a href=""https://www.waste.uni-stuttgart.de/"">: https://www.waste.uni-stuttgart.de/.</a></p>

<p>*Keep in mind that applications for EPOS-DAAD require two years of professional relevant experience. You can find more information about the scholarship programme on the following website:<a href=""https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/epos/""> https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/epos/.</a></p>",False,,,,['Welcome event | Buddy programme | Tutors | Accompanying programme | Cultural and linguistic preparation | Pick-up service | Specialist counselling | Visa matters | Help with finding accommodation | Support with registration procedures'],[],/deutschland/studienangebote/international-programmes/en/detail/3676/
2,Air Transport and Logistics,"Transport Engineering, Nautical Science",Technische Universität Dresden,Dresden,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p><strong>Non-EU applicants</strong>: 31 May for the following winter semester</p>

<p><strong>EU applicants</strong>: 15 July for the following winter semester</p>",False,,,,['Welcome event | Buddy programme | Tutors | Cultural and linguistic preparation | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/8911/
3,Albrecht Mendelssohn Bartholdy Graduate School of Law,Law,Universität Hamburg,Hamburg,[],[],[],[],"['German', 'English']",,,Winter semester,,,none,False,,,<p>15 February 2024</p>,False,,,True,['Welcome event'],[],/deutschland/studienangebote/international-programmes/en/detail/4764/
2,AMASE: Joint European Master's Programme in Advanced Materials Science and Engineering,Engineering in general,Saarland University,Saarbrücken,[],[],[],[],"['German', 'English', 'French', 'Spanish']",,,Winter semester,,,varied,False,,,"<p>International students: April<br />
European students: May</p>",False,,,,['Buddy programme | Specialist counselling | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/6080/
2,American Studies,"English Studies, American Studies",Leipzig University,Leipzig,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p>The application to the MA American Studies programme consists of two separate but mandatory processes. The application deadline for the entrance exam is in spring of every year. In addition, formal enrolment for international students at Leipzig University (for applicants holding a BA from a university outside of Germany) is handled by the university&#39;s International Centre, with another deadline usually at the end of May. See Leipzig University&#39;s website for the current dates.</p>",False,,,,['Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/8916/
2,American Studies (MA),"English Studies, American Studies",University of Tübingen,Tübingen,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"1,500",False,,,"<p><strong>Non-EU applicants: </strong></p>

<p>15 July for the following winter semester<br />
15 January for the following summer semester</p>

<p><strong>EU applicants:</strong></p>

<p>15 September for the following winter semester<br />
15 March for the following summer semester</p>",False,,,,['Welcome event | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/5332/
2,"Analytical Instruments, Measurement and Sensor Technology (AIMS)",Engineering in general,Coburg University of Applied Sciences and Arts,Coburg,[],[],[],[],['English'],,,Winter semester,,,"3,900",False,,,"<p>Deadline for the winter semester: 30 June<br />
For German students: 31 August</p>",False,,,,['Welcome event | Buddy programme | Accompanying programme | Pick-up service'],[],/deutschland/studienangebote/international-programmes/en/detail/3949/
2,Anglophone Modernities in Literature and Culture,Languages and Cultural Studies in general,University of Potsdam,Potsdam,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>1 June for winter semester, 1 December for summer semester</p>

<p>For updates, please check: <a href=""https://www.uni-potsdam.de/en/studium/dates-and-deadlines/application-and-enrollment-deadlines"">https://www.uni-potsdam.de/en/studium/dates-and-deadlines/application-and-enrollment-deadlines</a></p>",False,,,,['Specialist counselling | Buddy programme | Welcome event | Tutors | Visa matters'],[],/deutschland/studienangebote/international-programmes/en/detail/4325/
2,Animal Science,"Agriculture, Forestry and Nutritional Sciences in general",University of Hohenheim,Stuttgart,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,varied,False,,,"<p><strong>For winter semester: </strong><br />
15 March each year for non-EU citizens<br />
15 September each year for EU citizens</p>

<p><strong>For summer semester (only EU citizens):</strong><br />
15 March each year</p>",False,,,,['Welcome event | Buddy programme | Specialist counselling | Cultural and linguistic preparation | Visa matters'],"['1', '4', '5', '8', '9', '10', '11', '14']",/deutschland/studienangebote/international-programmes/en/detail/8973/
2,Anthropology and Sociology (Master of Arts),Social Science,University of Konstanz,Konstanz,[],[],[],[],"['German', 'English']",,,"Winter semester, Summer semester",,,varied,False,,,"<ul>
	<li>9 May to 15 July (for the following winter semester)</li>
	<li>29 November to 15 January (for the following summer semester)</li>
</ul>",False,,,,['Welcome event | Specialist counselling | Help with finding accommodation'],[],/deutschland/studienangebote/international-programmes/en/detail/4778/
2,Anthropology of the Americas,Other / Non-European Languages and Cultural Studies,University of Bonn,Bonn,[],[],[],[],"['English', 'Spanish']",,,"Winter semester, Summer semester",,,none,False,,,"<p>Winter semester: Application is possible between 15 May and 4 September 2023.</p>

<p>Summer semester: Application period starts in December 2023 (exact dates have to be verified on the <a href=""https://www.iak.uni-bonn.de/de/studium/studiengaenge/m-a-anthropology-of-the-americas"">department&#39;s homepage</a>).</p>",False,,,,['Welcome event | Buddy programme | Accompanying programme'],[],/deutschland/studienangebote/international-programmes/en/detail/6223/
2,Applied & Environmental Geoscience (AEG),Earth Sciences (excluding Geography),University of Tübingen,Tübingen,[],[],[],[],['English'],,,Winter semester,,,"1,500",False,,,"<ul>
	<li>Non-EU applicants: 31 March</li>
	<li>German and EU applicants: 15 July</li>
</ul>",False,,,,['Welcome event | Pick-up service | Buddy programme'],[],/deutschland/studienangebote/international-programmes/en/detail/3791/
2,"Applied AI for Digital Production Management, MEng",Industrial Engineering,Deggendorf Institute of Technology,Cham,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>Application period: 15 April &ndash; 15 July for October entries (winter semester)</p>,False,,,,['Welcome event | Buddy programme | Tutors | Specialist counselling | Visa matters | Pick-up service | Help with finding accommodation'],[],/deutschland/studienangebote/international-programmes/en/detail/9024/
1,Applied Artificial Intelligence (AAI),Computer Science,Rosenheim Technical University of Applied Sciences,Rosenheim,[],[],[],[],['English'],,,Winter semester,,,none,False,,,"<p>15 July for the following winter semester</p>

<p>Due to the visa processing time, it is strongly recommended that non-EU applicants submit their documents at the beginning of the application period (1 April).</p>",False,,,,['Welcome event | Tutors | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/7666/
1,Applied Biology (BSc),Biology,Hochschule Bonn-Rhein-Sieg,Rheinbach,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 July for the following winter semester</p>,False,,,,['Buddy programme | Tutors | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/3779/
2,Applied Biotechnology,"Mathematics, Natural Sciences in general",Ansbach University of Applied Sciences,Ansbach,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>Winter semester: 2 May to 31 May<br />
Summer semester: 1 November to 30 November</p>",False,,,,['Buddy programme | Welcome event'],[],/deutschland/studienangebote/international-programmes/en/detail/7251/
2,Applied Computer Science (MSc),Computer Science,SRH University Heidelberg,Heidelberg,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,"6,450",False,,,"<p>There are <strong>no application deadlines</strong>, so you can <strong>apply at any time </strong>until all of the places in the programme have been taken.</p>",False,,,,['Welcome event | Accompanying programme | Tutors | Visa matters | Buddy programme | Specialist counselling'],[],/deutschland/studienangebote/international-programmes/en/detail/3981/
2,Applied Computer Science (MSc),Computer Science,University of Göttingen,Göttingen,[],[],[],[],['English'],,,"Winter semester, Summer semester",,,none,False,,,"<p>Non-EU applicants: 15 April for the following winter semester and 15 October for the following summer semester<br />
EU applicants: 15 June for the following winter semester and 15 December for the following summer semester</p>",False,,,,['Buddy programme | Welcome event'],[],/deutschland/studienangebote/international-programmes/en/detail/4700/
2,Applied Computer Science (MSc),Computer Science,Schmalkalden University of Applied Sciences,Schmalkalden,[],[],[],[],['English'],,,Winter semester,,,none,False,,,<p>15 May for the following winter semester</p>,False,,,,['Welcome event | Tutors | Specialist counselling | Cultural and linguistic preparation'],[],/deutschland/studienangebote/international-programmes/en/detail/5551/
