courseName,location,fees,url,entry_year,study_mode,duration,course_code,start_date
Finance MBA,Coventry University London (City of London),"£22,550 per year",https://www.coventry.ac.uk/london/course-structure/pg/finance-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",LONT086,September 2023
Finance and Investment BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/finance-and-investment-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Film and Media Production MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/media-practice-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>Up to 2 years, with professional experience                    </p>",AHT088,September 2023
Financial Management and Accounting BA (Hons),Coventry University Wrocław (Poland),"46,000 zł (non-EU) per year",https://www.coventry.ac.uk/wroclaw/course-structure/hnc-hnd-degree/financial-management-and-accounting-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",CUPU067,September 2023
Forensic Psychology and Mental Health MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/hls/forensic-psychology-and-mental-health-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time (on-campus)<br>2 years part-time (online)                    </p>",HLST191 (on-campus),September 2023
Forensic Psychology BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/forensic-psychology-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Financial Management and Accounting BA (Hons),CU Coventry (Coventry),"£16,800 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/financial-management-and-accounting-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",392N / 393N / 394N,September 2023
Food Science BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/food-science-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Financial Economics BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/financial-economics-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Financial Technology (FinTech) MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/financial-technology-fintech-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>18 months Extended Professional Practice                    </p>",LONT069,September 2023
Forensic Psychology MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/hls/forensic-psychology-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time (on-campus)<br>2 years part-time (online)                    </p>",HLST190 (on-campus),September 2023
Global Business Management BA (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/global-business-management-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>5 years part-time (UK only)                    </p>",,September 2023
Global Business MBA,Coventry University London (City of London),"£22,550",https://www.coventry.ac.uk/london/course-structure/pg/global-business-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",LONT080,September 2023
Global Business top-up BA (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/global-business-top-up-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",N190,September 2023
Global Events Management BSc (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/global-events-management-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>5 years part-time (UK only)                    </p>",,September 2023
Global Finance MSc,Coventry University London (City of London),"£20,050 | £21,250 (with prof. experience)",https://www.coventry.ac.uk/london/course-structure/pg/global-finance-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT067,September 2023
Global Financial Planning BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/global-financial-planning-bsc/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Graphic Design BA (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/fah/graphic-design-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",W211,September 2023
Global Financial Trading MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/global-financial-trading-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT071,September 2023
Global Healthcare Management MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/hls/global-health-care-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",HLST274,September 2023
Global Marketing BSc (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/applied-global-marketing-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>Up to 5 years part-time (UK only)                    </p>",,September 2023
Global Healthcare Management and Leadership MBA,Coventry University London (City of London),"£22,550",https://www.coventry.ac.uk/london/course-structure/pg/global-healthcare-management-and-leadership-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",LONT085,September 2023
Health and Social Care BA (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/health-social-care/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",L512 /  L511 / L513,September 2023
Graphic Design MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/graphic-design-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT040 (full-time),September 2023
Health and Social Care BA (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/health-social-care/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",L512 / L511 / L513,September 2023
Health and Social Care BA (Hons),"CU London (Greenwich, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/health-and-social-care-ba-hons-cu-london-greenwich/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",L512 / L511 / L513,September 2023
Health and Wellbeing Practice BA (Hons),CU Coventry (Coventry),"£18,300 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/health-and-wellbeing-practice/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",L612,September 2023
"Health, Education and Wellbeing Foundation Year",CU Coventry (Coventry),"£16,800 per year",https://www.coventry.ac.uk/cuc/course-structure/foundation/health-wellbeing/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",L514,September 2023
History MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/history-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT059,September 2023
Illustration and Animation MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/illustration-and-animation-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT037,September 2023
Interior Design MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/interior-design-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT039,September 2023
Human Biosciences BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/human-biosciences-bsc/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
International Business Management MSc,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fbl/international-business-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>Up to 2 years, with professional experience                    </p>",FBLT157,September 2023
International Business Management BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/international-business-management-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
International Business BA (Hons) top-up,Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/top-up/international-business-ba-hons-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years full-time                    </p>",N121,September 2023
International Fashion Management MBA,Coventry University London (City of London),"£22,550",https://www.coventry.ac.uk/london/course-structure/pg/international-fashion-management-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",LONT066,September 2023
International Fashion Management and Marketing BA (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/international-fashion-management-and-marketing-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>6 years part-time                    </p>",,September 2023
International Entrepreneurship MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/fbl/international-entrepreneurship-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",FBLT093,September 2023
International Commercial Law LLM,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience) per year",https://www.coventry.ac.uk/course-structure/pg/fbl/international-commercial-law-llm/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>Up to 2 years, with professional experience                    </p>",FBLT084,September 2023
International Foundation Year - Computing,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/computing/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Foundation Year - Accounting and Finance,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/accounting-and-finance/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Fashion Marketing MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/international-fashion-marketing-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT064,September 2023
International Finance and Banking BSc (Hons) top-up,Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/top-up/international-finance-and-banking-bsc-hons-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time (Entry at level 6)<br>2 years full-time (Entry at level 5)                    </p>",N315,September 2023
International Foundation Year - Biosciences,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/biosciences/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Foundation Year - Business,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/business/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Foundation Year - Engineering,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/engineering/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Foundation Year - Law,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/law/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Foundation Year - Public Health,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/public-health/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Finance and Accounting BA (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/international-finance-and-accounting-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>5 years part-time (UK only)                    </p>",NN3L,September 2023
International Hospitality and Tourism Management BA (Hons),Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/international-hospitality-and-tourism-management-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>5 years part-time (UK only)                    </p>",,September 2023
International Fashion PR and Communication BA (Hons) top-up,Coventry University London (City of London),"£16,800",https://www.coventry.ac.uk/london/course-structure/ug/international-fashion-pr-and-communication-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",W230,September 2023
International Hospitality and Tourism Management MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/international-hospitality-and-tourism-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>18 months Extended Professional Practice<br>2 years part-time (UK only)                    </p>",LONT082,September 2023
International Foundation Year - Sports Science,CU Coventry (Coventry),"IELTS 4.0 | £17,500 | 39 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/if/sports-science/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
"International Hospitality, Tourism and Wellness Management top-up BA (Hons)",Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/international-hospitality-tourism-and-wellness-management-top-up-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",NN18,September 2023
International Human Resource Management MBA,Coventry University London (City of London),"£22,550",https://www.coventry.ac.uk/london/course-structure/pg/international-human-resource-management-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",LONT079,September 2023
International Marketing Management MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/fbl/international-marketing-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",FBLT054,September 2023
International Marketing BA (Hons) top-up,Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/top-up/international-marketing-ba-hons-top-up/?term=2023-24,,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",N550,September 2023
International Law LLB (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/international-law-llb/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
International Human Resource Management MSc,Coventry University (Coventry),"£20,050",https://www.coventry.ac.uk/course-structure/pg/fbl/international-human-resource-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br> 2 years part-time (Sept start only)                    </p>",FBLT145,September 2023
International Pre-Master’s - Business,CU Coventry (Coventry),"IELTS 5.0 | £16,000 | 36 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/ipm/international-pre-masters-business/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Pre-Master’s - Engineering,CU Coventry (Coventry),"IELTS 5.0 | £16,000 | 36 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/ipm/international-pre-masters-engineering/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Pre-Master’s - Engineering Management,CU Coventry (Coventry),"IELTS 5.0 | £16,000 | 36 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/ipm/international-pre-masters-engineering-management/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
Up to 1 year                    </p>",See,September 2023
International Marketing MBA,Coventry University London (City of London),"£22,550",https://www.coventry.ac.uk/london/course-structure/pg/international-marketing-mba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",LONT081,September 2023
International Relations BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fah/international-relations-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>Flexible part-time                    </p>",L250,September 2023
International Project Management MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/international-project-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>18 months Extended Professional Practice                    </p>",LONT077,September 2023
Law and Practice BA (Hons),CU Coventry (Coventry),"£16,800 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/law-practice/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC<br>Flexible part-time                    </p>",M250 / 052M / 152M,September 2023
International Year One - Business Management,CU Coventry (Coventry),"IELTS 5.5+ | £14,500 | 30 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/iy1/business-management/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",CUCIY102 - CU Coventry | CULGIY102 - CU London Greenwich,September 2023
International Relations MA,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/fah/international-relations-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",AHT023,September 2023
Law and Practice HNC/HND/LLB (Hons),"CU London (Greenwich, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/law-and-practice/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",M102 / M103 / M104,September 2023
International Year One - Accounting and Finance,CU Coventry (Coventry),"IELTS 5.5+ | £14,500 | 30 academic weeks",https://www.coventry.ac.uk/course-structure/foundation/iy1/accounting-and-finance/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",CUCIY101 - CU Coventry | CULGIY101 - CU London Greenwich,September 2023
Law and Practice LLB (Hons),"CU London (Dagenham, London)","£16,800 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/law/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",M102 / M103 / M104,September 2023
Law and Practice LLB (Hons),CU Scarborough (Scarborough),"£16,800 per year",https://www.coventry.ac.uk/cus/course-structure/hnc-hnd-degree/law/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",M102 / M103 / M104,September 2023
Management (Advanced Standing) MA,Coventry University (Coventry),Not available,https://www.coventry.ac.uk/course-structure/pg/fbl/management-advanced-standing-ma/?term=2023-24,2023-24,Part-time,"<p class=""mbn"">
6 months part-time                    </p>",FBLT097,September 2023
Law LLM,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fbl/law-llm/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",FBLT096,September 2023
Law LLB (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/law-llb-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Leadership and Management MA/PGDip/PGCert,Coventry University (Coventry),Not available,https://www.coventry.ac.uk/course-structure/pg/fbl/leadership-and-management-pgcertpgdipma/?term=2023-24,2023-24,Part-time,"<p class=""mbn"">
1 year part-time<br>2 years part-time (with professional experience)                    </p>",FBLT067,September 2023
Marketing and Public Relations BA (Hons),CU Coventry (Coventry),"£16,800 per year",https://www.coventry.ac.uk/cuc/course-structure/hnc-hnd-degree/marketing/?term=2023-24,,Full-time,"<p class=""mbn"">
3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",N520 / 025N / 095N,September 2023
Master of Business Administration (MBA),Coventry University (Coventry),"£20,350",https://www.coventry.ac.uk/course-structure/pg/fbl/masters-in-business-administration/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2-5 years (part-time)                    </p>",On campus - FBLT026  Online - FBLT163,September 2023
Marketing Management BA (Hons) top-up,Coventry University London (City of London),"£16,800 per year",https://www.coventry.ac.uk/london/course-structure/ug/marketing-management-top-up-ba/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time (UK only)                    </p>",N55A,September 2023
Management MSc,Coventry University London (City of London),"£20,050 | £21,250 (extended prof. practice)",https://www.coventry.ac.uk/london/course-structure/pg/management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>18 months Extended Professional Practice                    </p>",LONT073,September 2023
Media Management MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/media-management-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT056,September 2023
Mechanical Engineering MEng/BEng (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/eec/mechanical-engineering-mengbeng-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
BEng:3 years full-time4 years sandwich<br>MEng:4 years full-time5 years sandwich                    </p>",,September 2023
Marketing BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fbl/marketing-ba-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Motorsport Engineering MEng/BEng (Hons),Coventry University (Coventry),"£19,850 per year",https://www.coventry.ac.uk/course-structure/ug/eec/motorsport-engineering-mengbeng-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
BEng:3 years full-time4 years sandwich<br>MEng:4 years full-time5 years sandwich                    </p>",,September 2023
Nursing and Allied Health Professions Foundation Year,CU Scarborough (Scarborough),"£18,300 per year",https://www.coventry.ac.uk/cus/course-structure/foundation/nursing-allied-health-professions/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time                    </p>",C740,September 2023
Nursing MSc,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/hls/nursing-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>Up to 5 years part-time                    </p>",On campus - HLST306,September 2023
Nutrition and Health BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/nutrition-and-health-bsc-hons/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Painting MA,Coventry University (Coventry),"£18,600 | £22,600 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/fah/painting-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT041,September 2023
Oil and Gas Management MSc,Coventry University (Coventry),"£20,050 | £24,050 (with prof. experience)",https://www.coventry.ac.uk/course-structure/pg/eec/oil-and-gas-management-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT056,September 2023
Oil and Gas Engineering MSc,Coventry University (Coventry),"£20,050 | £4,000 (Work placement option additional fee)",https://www.coventry.ac.uk/course-structure/pg/eec/oil-and-gas-engineering-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>2 years sandwich                    </p>",EECT058,September 2023
Occupational Therapy (pre-registration) MSc,Coventry University (Coventry),"£18,600 per year",https://www.coventry.ac.uk/course-structure/pg/hls/occupational-therapy-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
2 years full-time                    </p>",HLST241,January 2024
Physiotherapy and Leadership (pre-registration) MSc,Coventry University (Coventry),"£18,600 per year",https://www.coventry.ac.uk/course-structure/pg/hls/physiotherapy-and-leadership-msc/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
2 years full-time                    </p>",HLST242,January 2024
Photography MA,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/fah/photography-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time                    </p>",AHT055,September 2023
Politics MA,Coventry University (Coventry),"£18,600",https://www.coventry.ac.uk/course-structure/pg/fah/politics-ma/?term=2023-24,2023-24,Full-time,"<p class=""mbn"">
1 year full-time<br>2 years part-time<br>16-24 months (with professional experience)                    </p>",AHT058,September 2023
Pharmacology BSc (Hons),Coventry University (Coventry),"£18,300 per year",https://www.coventry.ac.uk/course-structure/ug/hls/pharmacology-bsc/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich                    </p>",,September 2023
Paramedic Science BSc (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/hls-nhs/paramedic-science-bsc/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time                    </p>",B950,September 2023
Politics and International Relations BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fah/politics-and-international-relations/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>Flexible part-time                    </p>",L210,September 2023
Primary Education and Teaching Studies BA (Hons),"CU London (Dagenham, London)","£18,300 per year",https://www.coventry.ac.uk/cul/course-structure/hnc-hnd-degree/primary-education/?term=2023-24,,Full-time,"<p class=""mbn"">
4 years sandwich<br>3 year - Degree<br>2 year - HND<br>1 year - HNC                    </p>",X320,September 2023
Politics BA (Hons),Coventry University (Coventry),"£16,800 per year",https://www.coventry.ac.uk/course-structure/ug/fah/politics-ba/?term=2023-24,,Full-time,"<p class=""mbn"">
3 years full-time<br>4 years sandwich<br>Flexible part-time                    </p>",L200,September 2023
